camera_id,location,main_road,cross_road,latitude,longitude,image_url,image_size_kb
8167,BATHURST ST & GLENCAIRN AVE,BATHURST ST,GLENCAIRN AVE,43.7124650016852,-79.4279589930438,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8167.jpg,27
8168,BATHURST ST & LAWRENCE AVE W,BATHURST ST,LAWRENCE AVE W,43.7193899988087,-79.4299230033164,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8168.jpg,27
8169,PARK LAWN RD & GARDINER E PARK LAWN RD RAMP,PARK LAWN RD,GARDINER E PARK LAWN RD RAMP,43.6256519951851,-79.4860500082425,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8169.jpg,121
8170,JANE ST & 400 S JANE ST RAMP / JANE ST BLACK CR S RAMP,JANE ST,400 S JANE ST RAMP / JANE ST BLACK CR S RAMP,43.7109910089439,-79.5057489945701,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8170.jpg,103
8171,WESTON RD & 401 C W WESTON RD RAMP,WESTON RD,401 C W WESTON RD RAMP,43.7150219997975,-79.5364880010728,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8171.jpg,162
8172,ISLINGTON AVE & 401 C W ISLINGTON N RAMP / ALLENBY AVE,ISLINGTON AVE,401 C W ISLINGTON N RAMP / ALLENBY AVE,43.7113400014744,-79.5535119934489,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8172.jpg,128
8174,HIGHWAY 27 & BELFIELD RD,HIGHWAY 27,BELFIELD RD,43.6994399987515,-79.5869850044948,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8174.jpg,98
8175,STRACHAN AVE & FLEET ST / MANITOBA DR,STRACHAN AVE,FLEET ST / MANITOBA DR,43.636412004782,-79.4095549910697,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8175.jpg,142
8176,EASTERN AVE & CARLAW AVE,EASTERN AVE,CARLAW AVE,43.6585260000707,-79.3389260048634,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8176.jpg,141
8177,THE QUEENSWAY & PARK LAWN RD,THE QUEENSWAY,PARK LAWN RD,43.6292290039945,-79.4902869919342,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8177.jpg,122
8178,THE QUEENSWAY & ROYAL YORK RD,THE QUEENSWAY,ROYAL YORK RD,43.6263900067065,-79.5028789943969,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8178.jpg,27
8179,THE QUEENSWAY & 427 C S QUEENSWAY RAMP / SHERWAY GARDENS RD,THE QUEENSWAY,427 C S QUEENSWAY RAMP / SHERWAY GARDENS RD,43.6152000006988,-79.5527800060276,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8179.jpg,109
8180,DUNDAS ST W & CLOVERDALE MALL / 427 C N DUNDAS RAMP,DUNDAS ST W,CLOVERDALE MALL / 427 C N DUNDAS RAMP,43.6289439959311,-79.5547500019616,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8180.jpg,106
8181,COLLEGE ST & DUFFERIN ST,COLLEGE ST,DUFFERIN ST,43.6525900003544,-79.4327059977383,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8181.jpg,158
8182,DANFORTH AVE & GREENWOOD AVE,DANFORTH AVE,GREENWOOD AVE,43.6813959985646,-79.3321740091058,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8182.jpg,139
8183,DANFORTH AVE & PAPE AVE,DANFORTH AVE,PAPE AVE,43.6789680044129,-79.3450940026882,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8183.jpg,111
8184,BLOOR ST E & PARLIAMENT ST,BLOOR ST E,PARLIAMENT ST,43.6717750042749,-79.3711120036195,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8184.jpg,143
8185,DUPONT ST & SPADINA RD,DUPONT ST,SPADINA RD,43.674790002261,-79.4068669984966,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8185.jpg,151
8186,ST CLAIR AVE W & BATHURST ST,ST CLAIR AVE W,BATHURST ST,43.6832840041639,-79.4184480017144,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8186.jpg,143
