latitude,longitude,location,main_road
43.6395140007549,-79.3868910021742,LAKE SHORE BLVD W & REES ST,LAKE SHORE BLVD W
43.6381469974869,-79.3943709985331,F G GARDINER XY E & SPADINA AVE,F G GARDINER XY E
43.6378270070491,-79.4004800005971,F G GARDINER XY E & BATHURST ST,F G GARDINER XY E
43.6373570019154,-79.4117380059441,F G GARDINER XY E & STRACHAN AVE,F G GARDINER XY E
43.634504009513,-79.4222449952726,F G GARDINER XY E & DUFFERIN ST,F G GARDINER XY E
43.6341280019222,-79.4378829948916,F G GARDINER XY E & NET DR,F G GARDINER XY E
43.638305007358,-79.4499439940186,F G GARDINER XY E & PARKSIDE DR,F G GARDINER XY E
43.6379430029546,-79.4622069976607,F G GARDINER XY E & ELLIS AVE,F G GARDINER XY E
43.6349740064415,-79.4695400027085,QUEENSWAY E GARDINER RAMP & F G GARDINER XY E,QUEENSWAY E GARDINER RAMP
43.6310649990376,-79.4761250018304,GARDINER E LAKE SHORE WEST E RAMP & LAKE SHORE BLVD W,GARDINER E LAKE SHORE WEST E RAMP
43.6273100042685,-79.4818560015722,F G GARDINER XY E & PARK LAWN RD,F G GARDINER XY E
43.6244640079195,-79.4933339927156,F G GARDINER XY E & PARK LAWN RD,F G GARDINER XY E
